ZEIT;RAUM;MERKMAL;WERT
2019;47 Uppenberg;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.43
2019;91 Berg Fidel;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;17.41
2020;8 Münster-Südost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.4
2016;47 Uppenberg;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.39
2015;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;17.38
2020;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;17.37
2018;97 Hiltrup-West;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.35
2020;45 Mauritz-Mitte;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.34
2020;91 Berg Fidel;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;17.33
2022;62 Kinderhaus-Ost;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.33
2022;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.31
2019;26 Schlachthof;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.28
2019;28 Neutor;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.24
2021;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.23
2020;46 Rumphorst;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.21
2020;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.19
2022;12 Überwasser;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.19
2014;25 Mauritz-West;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;17.17
2014;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;17.17
2019;23 Bahnhof;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.14
2014;15 Martini;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;17.14
2014;27 Kreuz;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;17.13
2014;27 Kreuz;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;17.1
2019;95 Hiltrup-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.09
2020;81 Gremmendorf-West;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.08
2019;8 Münster-Südost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.04
2015;33 Schützenhof;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.04
2021;91 Berg Fidel;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;17.03
2015;8 Münster-Südost;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.02
2014;23 Bahnhof;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.02
2018;81 Gremmendorf-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;17.02
2020;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;17.01
2018;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;17.01
2018;8 Münster-Südost;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.98
2019;12 Überwasser;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.98
2019;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.98
2022;91 Berg Fidel;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.97
2015;47 Uppenberg;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.97
2016;47 Uppenberg;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.97
2014;8 Münster-Südost;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.95
2018;43 Hafen;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.95
2016;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.95
2022;57 Roxel;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.95
2020;9 Münster-Hiltrup;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.94
2022;8 Münster-Südost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.93
2020;96 Hiltrup-Mitte;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.92
2017;63 Kinderhaus-West;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.91
2022;9 Münster-Hiltrup;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.89
2018;6 Münster-Nord;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.88
2021;98 Amelsbüren;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.88
2018;28 Neutor;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.85
2022;62 Kinderhaus-Ost;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.84
2014;34 Düesberg;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;16.84
2022;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.83
2022;47 Uppenberg;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.83
2021;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.82
2014;81 Gremmendorf-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.81
2019;9 Münster-Hiltrup;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.79
2021;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;16.77
2015;33 Schützenhof;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.76
2015;87 Wolbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.76
2016;25 Mauritz-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.74
2016;51 Gievenbeck;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.73
2017;6 Münster-Nord;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.72
2017;8 Münster-Südost;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.7
2019;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.69
2016;82 Gremmendorf-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.67
2021;12 Überwasser;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.67
2014;28 Neutor;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.67
2014;23 Bahnhof;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.67
2019;96 Hiltrup-Mitte;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.67
2019;97 Hiltrup-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.65
2015;27 Kreuz;Anteil der Kinder mit Migrationsvorgeschichte an allen Kindern - Kernindikator 3;16.64
2020;6 Münster-Nord;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.63
2014;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.63
2021;91 Berg Fidel;Anteil der SGBII-Personen im Alter von 15 - 64 Jahren an den Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.62
2018;28 Neutor;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.62
2019;97 Hiltrup-West;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.6
2019;47 Uppenberg;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.59
2016;87 Wolbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.59
2022;46 Rumphorst;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.59
2015;82 Gremmendorf-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.57
2021;46 Rumphorst;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.57
2020;47 Uppenberg;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.57
2018;25 Mauritz-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.56
2019;97 Hiltrup-West;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.55
2017;87 Wolbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.54
2016;97 Hiltrup-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.53
2019;6 Münster-Nord;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.51
2015;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.5
2015;47 Uppenberg;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.5
2017;51 Gievenbeck;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.5
2017;Münster. Gesamtstadt;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.48
2021;8 Münster-Südost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.48
2017;51 Gievenbeck;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.48
2018;95 Hiltrup-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.48
2020;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.48
2022;23 Bahnhof;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.47
2015;33 Schützenhof;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.47
2016;97 Hiltrup-West;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.46
2018;97 Hiltrup-West;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.46
2017;51 Gievenbeck;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.45
2021;29 Schloss;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.44
2021;47 Uppenberg;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.42
2018;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.41
2017;Münster. Gesamtstadt;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.4
2016;63 Kinderhaus-West;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.39
2017;31 Aaseestadt;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.39
2016;97 Hiltrup-West;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.39
2016;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.38
2016;Münster. Gesamtstadt;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.37
2017;81 Gremmendorf-West;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.37
2017;25 Mauritz-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.37
2019;27 Kreuz;Anteil der männlichen Kinder mit Migrationsvorgeschichte an allen männlichen Kindern - Kernindikator 3;16.37
2021;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.36
2015;13 Dom;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.35
2015;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.35
2020;63 Kinderhaus-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.35
2018;28 Neutor;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.34
2022;52 Sentrup;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.33
2017;Münster. Gesamtstadt;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.32
2016;Münster. Gesamtstadt;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.31
2015;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.31
2017;45 Mauritz-Mitte;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.31
2022;91 Berg Fidel;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.31
2014;8 Münster-Südost;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.3
2020;47 Uppenberg;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.3
2022;29 Schloss;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.3
2015;6 Münster-Nord;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.29
2019;63 Kinderhaus-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.29
2016;13 Dom;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.28
2017;82 Gremmendorf-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.26
2016;Münster. Gesamtstadt;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.25
2016;54 Mecklenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.24
2018;32 Geist;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.24
2014;33 Schützenhof;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.24
2015;97 Hiltrup-West;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.24
2022;7 Münster-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.23
2014;82 Gremmendorf-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.23
2017;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.23
2021;91 Berg Fidel;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.23
2017;32 Geist;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.23
2020;9 Münster-Hiltrup;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.22
2019;43 Hafen;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.22
2016;14 Buddenturm;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.22
2021;61 Coerde;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.21
2016;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.2
2017;95 Hiltrup-Ost;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.2
2019;97 Hiltrup-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.19
2022;9 Münster-Hiltrup;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.18
2018;27 Kreuz;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.16
2022;77 Handorf;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.14
2021;9 Münster-Hiltrup;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.12
2022;61 Coerde;Anteil der männlichen SGBII-Personen im Alter von 15 - 64 Jahren an den männlichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.12
2021;63 Kinderhaus-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.12
2022;62 Kinderhaus-Ost;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.09
2014;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.08
2014;54 Mecklenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.07
2014;25 Mauritz-West;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;16.07
2014;97 Hiltrup-West;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.06
2022;52 Sentrup;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.06
2018;63 Kinderhaus-West;Anteil der weiblichen SGBII-Personen im Alter von 15 - 64 Jahren an den weiblichen Einwohnern im Alter von 15 - 64 Jahren - Kernindikator 1;16.04
2017;54 Mecklenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;16.02
2020;47 Uppenberg;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16.02
2018;8 Münster-Südost;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16
2017;43 Hafen;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16
2015;43 Hafen;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;16
2016;51 Gievenbeck;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.99
2017;51 Gievenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;15.98
2014;68 Sprakel;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.98
2019;8 Münster-Südost;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.96
2014;24 Hansaplatz;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.94
2015;27 Kreuz;Anteil der weiblichen Kinder mit Migrationsvorgeschichte an allen weiblichen Kindern - Kernindikator 3;15.94
2022;51 Gievenbeck;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.93
2014;Münster. Gesamtstadt;Anteil der weiblichen SGBII-Personen im Alter von 0 - 14 Jahren an den weiblichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.9
2021;11 Aegidii;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;15.89
2022;25 Mauritz-West;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;15.88
2019;96 Hiltrup-Mitte;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.87
2021;47 Uppenberg;Anteil der SGBII-Personen im Alter von 0 - 14 Jahren an den Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.85
2019;54 Mecklenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;15.85
2014;51 Gievenbeck;Anteil der männlichen SGBII-Personen im Alter von 0 - 14 Jahren an den männlichen Einwohnern im Alter von 0 - 14 Jahren - Kernindikator 2;15.85
2018;54 Mecklenbeck;Anteil der Kinder in alleinerziehende Haushalten an allen Kindern in Haushalten - Kontextindikator 1;15.84
